省份：安徽----------------------------------------------------------------------------------------------------
省份：安徽       | 城市：安庆       | 区县：宿松县          | 代售点：宿松县汇口镇代售点                                           | 代售点地址：安徽省宿松县汇口镇德化路64号                                                     | 营业时间：0730 -1830  | 窗口数量：1 
省份：安徽       | 城市：安庆       | 区县：宿松县          | 代售点：宿松县宿松路代售点                                           | 代售点地址：安徽省宿松县孚玉镇宿松路211号（汽车站旁）                                        | 营业时间：0800 -1830  | 窗口数量：1 
省份：安徽       | 城市：芜湖市     | 区县：弋江区          | 代售点：鲁港客票代售点                                               | 代售点地址：芜湖市弋江区鲁港综合大市场二区48号                                               | 营业时间：0800 -1700  | 窗口数量：0 
省份：安徽       | 城市：宿州       | 区县：砀山县          | 代售点：徐州车务段砀山代售点                                         | 代售点地址：安徽省砀山市人民东路31号                                                         | 营业时间：0730 -1730  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：                | 代售点：淮北客票代售点                                               | 代售点地址：安徽省淮北市闸河路109号                                                          | 营业时间：0800 -1930  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：烈山区          | 代售点：淮北第二客票代售点                                           | 代售点地址：安徽省淮北市烈山区工人村望阳路3号                                                | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：相山区          | 代售点：淮北第四客票代售点                                           | 代售点地址：淮北市相山区花园路10-4号                                                         | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：相山区          | 代售点：淮北第三客票代售点                                           | 代售点地址：淮北市相山区相山路B-1栋103-104号                                                 | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：相山区          | 代售点：淮北客票代售点                                               | 代售点地址：安徽省淮北市相山区古城路长途汽车站对面                                           | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：萧县            | 代售点：萧县客票代售点                                               | 代售点地址：安徽省淮北市萧县交通路                                                           | 营业时间：0700 -1900  | 窗口数量：1 
省份：安徽       | 城市：淮北       | 区县：濉溪县          | 代售点：濉溪客票代售点                                               | 代售点地址：安徽省淮北市濉溪县淮海路76号                                                     | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第九客票代售点                                           | 代售点地址：亳州市淝河镇淝亳路9号                                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第七客票代售点                                           | 代售点地址：亳州市十河镇105国道227号                                                         | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第十二客票代售点                                         | 代售点地址：亳州市十八里大蓬街29号                                                           | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第六客票代售点                                           | 代售点地址：亳州市芍花路48号                                                                 | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第八客票代售点                                           | 代售点地址：亳州市谯城区牛集镇牛集街12号                                                     | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第十客票代售点                                           | 代售点地址：亳州市魏武大道涡北还原小区67号                                                   | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第十一客票代售点                                         | 代售点地址：亳州市芦庙镇东关街9号                                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第三客票代售点                                           | 代售点地址：亳州市谯城区双沟镇明王路6号                                                      | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第五客票代售点                                           | 代售点地址：亳州市谯城区古井镇三曹路1号                                                      | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：                | 代售点：亳州第四客票代售点                                           | 代售点地址：亳州市谯城区古城镇中心南街9号                                                    | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：利辛县          | 代售点：中铁商业利辛客票代售点                                       | 代售点地址：安徽省亳州市利辛县人民路164号                                                    | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：蒙城县          | 代售点：中铁商业蒙城客票代售点                                       | 代售点地址：安徽省亳州市蒙城县稽康中路16号                                                   | 营业时间：0730 -1700  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：涡阳县          | 代售点：胜利东路客票代售点                                           | 代售点地址：亳州市涡阳县城关镇胜利东路27号                                                   | 营业时间：0800 -1700  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：亳州市          | 代售点：利辛第三客票代售点                                           | 代售点地址：亳州市利辛县张村镇柳东村高庄22号                                                 | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：亳州市          | 代售点：利辛第二客票代售点                                           | 代售点地址：亳州市利辛县阜蚌路005号                                                          | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：亳州市          | 代售点：亳州第二客票代售点                                           | 代售点地址：亳州市谯城区希夷大道4-2号                                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：亳州       | 区县：亳州市          | 代售点：亳州第一客票代售点                                           | 代售点地址：亳州市谯城区魏武大道1373号                                                       | 营业时间：0800 -1800  | 窗口数量：3 
省份：安徽       | 城市：亳州       | 区县：亳州市          | 代售点：利辛第一客票代售点                                           | 代售点地址：亳州市利辛县人民路电影院164号                                                    | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：界首市          | 代售点：中铁商业界首客票代售点                                       | 代售点地址：安徽省界首市中原路629号                                                          | 营业时间：0730 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：                | 代售点：临泉第四客票代售点                                           | 代售点地址：阜阳市临泉县庙岔镇京广路14号                                                     | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：                | 代售点：阜阳第十五客票代售点                                         | 代售点地址：阜阳市颍州区九龙镇镇政府102号省道78号                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第七客票代售点                                           | 代售点地址：阜阳市颍泉区中市办民主东路001号                                                  | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜南县          | 代售点：阜南第二客票代售点                                           | 代售点地址：阜阳市阜南县鹿城镇环北路117号                                                    | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜南县          | 代售点：中铁商业阜南客票代售点                                       | 代售点地址：安徽省阜阳市阜南县地城北路42号                                                   | 营业时间：0800 -1730  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十二客票代售点                                         | 代售点地址：阜阳市颍东区曙光路1号                                                            | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第九客票代售点                                           | 代售点地址：阜阳市颍州区颍州南路158号                                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十客票代售点                                           | 代售点地址：阜阳市颍州区清河东路528号                                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第一客票代售点                                           | 代售点地址：阜阳市颍泉区颍河西路107号                                                        | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十一客票代售点                                         | 代售点地址：阜阳市颍州区人民中路89号                                                         | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十三客票代售点                                         | 代售点地址：阜阳市经济开发区京九办事处纬三路368号                                            | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第六客票代售点                                           | 代售点地址：阜阳市颍泉区宁老庄镇阜太路南侧                                                   | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第五客票代售点                                           | 代售点地址：阜阳市颍泉区人民中路温州街106号                                                  | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第五客票代售点                                           | 代售点地址：阜阳市颍泉区人民中路温州街106号                                                  | 营业时间：0800 -1800  | 窗口数量：0 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第八客票代售点                                           | 代售点地址：阜阳市颍州区清河路第十五中学1楼103号                                             | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十四客票代售点                                         | 代售点地址：阜阳市颍泉区中市办事处北京中路125号                                              | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：阜阳市          | 代售点：阜阳第十六客票代售点                                         | 代售点地址：阜阳市颍东区北京东路汽车东路东20米中粮招待所楼下                                 | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：界首市     | 区县：界首市          | 代售点：界首市第四客票代售点                                         | 代售点地址：界首市芦村镇西街216号                                                            | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：界首市          | 代售点：界首第二客票代售点                                           | 代售点地址：界首市大桥南路107号                                                              | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：界首市     | 区县：界首市          | 代售点：界首第三客票代售点                                           | 代售点地址：界首市人民路179号                                                                | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：开发区          | 代售点：中铁商业阜阳第三客票代售点                                   | 代售点地址：安徽省阜阳市开发区汽车南站东门4号楼                                              | 营业时间：0730 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：临泉县          | 代售点：临泉第六客票代售点                                           | 代售点地址：临泉县姜寨镇韦庙路156号                                                          | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：临泉县          | 代售点：临泉第五客票代售点                                           | 代售点地址：临泉县宋集镇临爱路宋集段8号                                                      | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：临泉县          | 代售点：临泉第二客票代售点                                           | 代售点地址：阜阳市临泉县城关镇光明南路234号                                                  | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：临泉县          | 代售点：临泉第一客票代售点                                           | 代售点地址：阜阳市临泉县城关镇前进西路44号                                                   | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：临泉县          | 代售点：临泉第三客票代售点                                           | 代售点地址：阜阳市临泉县城关镇光明北路101号                                                  | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：蒙城县          | 代售点：蒙城第二客票代售点                                           | 代售点地址：亳州市蒙城县宝塔中路46号                                                         | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：蒙城县          | 代售点：蒙城客票代售点                                               | 代售点地址：蒙城县金天地商业街商城西路80号                                                   | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：太和县          | 代售点：太和第四客票代售点                                           | 代售点地址：太和县李兴镇北大街68号                                                           | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：太和县          | 代售点：太和县第一客票代售点                                         | 代售点地址：阜阳市太和县城关镇太亳路7号                                                      | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：太和县          | 代售点：太和第二客票代售点                                           | 代售点地址：太和县旧县镇三角元巨阳大厦一楼                                                   | 营业时间：0800 -1800  | 窗口数量：3 
省份：安徽       | 城市：阜阳       | 区县：太和县          | 代售点：太和第三客票代售点                                           | 代售点地址：阜阳市太和县倪丘镇东门村委会65号                                                 | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：颖泉区          | 代售点：中铁商业阜阳第二客票代售点                                   | 代售点地址：安徽省阜阳市颖泉区人民西路218号                                                  | 营业时间：0730 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：颍上县          | 代售点：颍上县第三客票代售点                                         | 代售点地址：阜阳市颍上县二新北路23号                                                         | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：颍上县          | 代售点：颍上客票代售点                                               | 代售点地址：阜阳市颍上县慎城镇管仲大道8号                                                    | 营业时间：0800 -1800  | 窗口数量：2 
省份：安徽       | 城市：阜阳       | 区县：颍上县          | 代售点：颍上南照客票代售点                                           | 代售点地址：阜阳市颍上县南照镇黄沙大道27号                                                   | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：阜阳       | 区县：颍州区          | 代售点：中铁商业阜阳第四客票代售点                                   | 代售点地址：安徽省阜阳市颍州区汽车西站候车室                                                 | 营业时间：0730 -1800  | 窗口数量：2 
省份：安徽       | 城市：淮南       | 区县：大通区          | 代售点：洛河客票代售点                                               | 代售点地址：淮南市大通区国庆东路327号,洛河电厂东50米                                         | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：凤台县          | 代售点：凤台客票代售点                                               | 代售点地址：凤台县刘集乡凤城大道35号凤凰花园小区34#                                          | 营业时间：0800 -1800  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：凤台县          | 代售点：凤台邮政局客票代售点                                         | 代售点地址：淮南市凤台县凤城大道248号,凤台邮政局大厅内                                       | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：潘集区          | 代售点：潘集客票代售点                                               | 代售点地址：淮南市潘集区黄山路七号,邮政局大厅内                                              | 营业时间：0800 -1730  | 窗口数量：1 
省份：安徽       | 城市：淮南       | 区县：寿县            | 代售点：寿县客票代售点                                               | 代售点地址：安徽省寿县寿春镇宾阳门内侧天健楚新天地3栋103                                     | 营业时间：0800 -1730  | 窗口数量：1 
