good_assess_num,good_name,good_price,shop_name,shop_site,shop_tel
,,,,,
100+,韦斯普 2017春季新款男士薄款皮夹克修身棒球领飞行夹克衫男装外套Y712 蓝色1 XL,,韦斯普旗舰店,http://vesllp.suning.com,18905085545
,,,,,
10+,2017春秋新款AFS JEEP夹克男装休闲薄款速干外套立领大码吉普上衣,,战地吉普琳达男装专营店,//shop.suning.com/70094698/index.html,18770553331
,,,,,
40+,红豆男装 夹克男 2017春季新款男士商务休闲立领夹克时尚纯色外套,,红豆(HOdo)官方旗舰店,//shop.suning.com/70062935/index.html,0510-66868046
,,,,,
50+,花花公子春秋新款男士商务休闲修身夹克时尚外套 JK58,,花花公子比撒专营店,http://shop.suning.com/70078358/index.html,13962311286
,,,,,
100+,韦斯普 2017春季新款男士薄款夹克 韩版修身立领棒球衫男装休闲外套V66 黑色1 XL,,韦斯普旗舰店,http://vesllp.suning.com,18905085545
,,,,,
200+,昊齐男装 夹克男2017春季夹克外套男士爸爸男装中年大码韩版修身商务薄款春秋上衣 15H726,,昊齐旗舰店,//shop.suning.com/70098057/index.html,0533-2613111
,,,,,
200+,狮臣男士外套薄夹克青年秋季新款春秋休闲男夹克衫潮流外衣服韩版男装,,狮臣懒猫专营店,http://shichen.suning.com,13647790040
,,,,,
100+,卡迈奴秋装夹克男薄款男装外套休闲男士西装领夹克衫 B5531,,卡迈奴旗舰店,http://kamainu.suning.com,
,,,,,
3,麦斯生活秀2016秋装新中老年男式休闲爸爸装上衣中年男士翻领夹克衫上衣7021,,麦斯生活秀服饰旗舰店,http://mlife.suning.com,
,,,,,
10+,花花公子贵宾 夹克男连帽卡其色简约单排扣男士短款外套,,花花公子贵宾男装旗舰店,//shop.suning.com/70125137/index.html,
,,,,,
70+,红豆男装 夹克 男 2017春季新款男士商务休闲立领休闲外套,,红豆(HOdo)官方旗舰店,//shop.suning.com/70062935/index.html,0510-66868046
,,,,,
10+,HLA海澜之家2016秋季新品男装连帽休闲宽松夹克HWJ...,,海澜之家官方旗舰店,//shop.suning.com/70081108/index.html,
,,,,,
1100+,圣里德 2016新款男士夹克外套男款休闲春秋装夹克男装纯棉上装 大码 男士夹克衫休闲外套男纯棉立领夹克男春秋薄款男装上衣,,圣里德旗舰店,http://stleader.suning.com,13506082336
,,,,,
200+,2016秋装新款男士薄外套 时尚百搭潮男夹克外套 情侣夹克外套 情侣装,,古仕卡特男装专营店,//shop.suning.com/70092449/index.html,
,,,,,
10+,雅鹿 春季男装 中年男士夹克衫外套 中老年春装薄款商务休闲爸爸装,,雅鹿男装旗舰店,http://yalunzqjd.suning.com,17715523556
,,,,,
100+,卡迈奴夹克衫男士外套男青中年立领薄款2016秋季新款男装潮B5885,,卡迈奴旗舰店,http://kamainu.suning.com,
,,,,,
100+,花花公子贵宾夹克男士外套男士商务休闲薄款男装外套,,花花公子贵宾男装旗舰店,//shop.suning.com/70125137/index.html,
,,,,,
300+,BEBEERU春装新款韩版修身型休闲男装立领潮流男士青年薄夹克外套S001,,BEBEERU男装旗舰店,//shop.suning.com/70074286/index.html,13916510408
,,,,,
400+,2016秋冬新款时尚潮流男装夹克,,战地吉普跳跳专营店,http://shop.suning.com/70094507/index.html,15267040142
,,,,,
400+,时尚韩版潮款男夹克外套修身工装,,战地吉普跳跳专营店,http://shop.suning.com/70094507/index.html,15267040142
,,,,,
5,恒源祥中老年翻领夹克男爸爸装2016秋装新款宽松大码薄外套男装,,恒源祥羽绒服饰官方旗舰店,//shop.suning.com/70081021/index.html,0512-81585159
,,,,,
